createdAt,culture,doneMissionCount,farmName,harvest,idBusinessUnit,lateMissionCount,pendingMissionCount,pestCount,photoProgrammedAt,plotName,primaryPest,requestGPS,trapCode,trapId,trapInfestationLevel,trapStatus,trapType,trapBatteryStatus,damage_weight,infest_numeric,alert_index,acima_alert,acima_control,acima_damage,pest_delta,dias_desde_ultima_leitura,taxa_crescimento_diario,trend,surtos_consecutivos,eficacia_missao_pct,priority_status,data_leitura
2025-11-26 11:21:47.897000+00:00,Milho,1,-,2025/2026,53560,0,0,0.0,07:00:00,-,Lagarta Spodoptera,False,FARMLAB3,1135056,LOW,ACTIVE,CONVENTIONAL,,5,1.0,5.0,False,False,False,-2.0,0.0,-2.0,Estável/Caindo,2,100.0,🟢 NORMAL,2025-11-26
2025-11-26 11:22:07.979000+00:00,Milho,6,-,2025/2026,53560,0,0,73.0,07:00:00,-,Cigarrinha,False,CIGARRINHA3,1135057,DAMAGE,ACTIVE,CONVENTIONAL,,4,3.0,12.0,True,True,True,0.0,0.0,0.0,Crescente,1,100.0,🔴 CRÍTICO — Infestação em Expansão,2025-11-26
2025-11-26 11:22:07.979000+00:00,Milho,6,-,2025/2026,53560,0,0,55.0,07:00:00,-,Cigarrinha,False,CIGARRINHA3,1135057,DAMAGE,ACTIVE,CONVENTIONAL,,4,3.0,12.0,True,True,False,-18.0,0.0,-18.0,Crescente,2,100.0,🔴 CRÍTICO — Infestação em Expansão,2025-11-26
2025-11-26 11:22:07.979000+00:00,Milho,1,-,2025/2026,53560,0,0,26.0,07:00:00,-,Cigarrinha,False,CIGARRINHA3,1135057,CONTROL,ACTIVE,CONVENTIONAL,,4,1.0,4.0,True,False,False,-29.0,0.0,-29.0,Estável/Caindo,2,100.0,🟢 NORMAL,2025-11-26
2025-11-28 12:15:44.432000+00:00,Milho,10,-,2025/2026,53560,2,0,95.0,07:00:00,-,Cigarrinha,False,CIGARRINHA2554,1135058,DAMAGE,ACTIVE,CONVENTIONAL,,4,3.0,12.0,True,True,True,0.0,0.0,0.0,Crescente,1,83.3,🔴 CRÍTICO — Infestação em Expansão,2025-11-28
2025-11-28 12:15:44.432000+00:00,Milho,1,-,2025/2026,53560,0,0,41.0,07:00:00,-,Cigarrinha,False,CIGARRINHA2554,1135058,DAMAGE,ACTIVE,CONVENTIONAL,,4,3.0,12.0,True,True,False,-54.0,0.0,-54.0,Crescente,2,100.0,🔴 CRÍTICO — Infestação em Expansão,2025-11-28
2025-11-28 12:15:44.432000+00:00,Milho,0,-,2025/2026,53560,0,0,,07:00:00,-,Cigarrinha,False,CIGARRINHA2554,1135058,-,ACTIVE,CONVENTIONAL,,4,0.0,0.0,False,False,False,0.0,0.0,0.0,Estável/Caindo,2,0.0,🟢 NORMAL,2025-11-28
2025-11-28 12:45:56.598000+00:00,Milho,8,-,2025/2026,53560,1,0,141.0,07:00:00,-,Cigarrinha,False,CIGARRINHA0749,1135059,DAMAGE,ACTIVE,CONVENTIONAL,,4,3.0,12.0,True,True,True,0.0,0.0,0.0,Crescente,1,88.9,🔴 CRÍTICO — Infestação em Expansão,2025-11-28
2025-11-28 12:45:56.598000+00:00,Milho,3,-,2025/2026,53560,0,0,54.0,07:00:00,-,Cigarrinha,False,CIGARRINHA0749,1135059,DAMAGE,ACTIVE,CONVENTIONAL,,4,3.0,12.0,True,True,False,-87.0,0.0,-87.0,Crescente,2,100.0,🔴 CRÍTICO — Infestação em Expansão,2025-11-28
2025-11-28 12:45:56.598000+00:00,Milho,0,-,2025/2026,53560,0,0,,07:00:00,-,Cigarrinha,False,CIGARRINHA0749,1135059,-,ACTIVE,CONVENTIONAL,,4,0.0,0.0,False,False,False,0.0,0.0,0.0,Estável/Caindo,2,0.0,🟢 NORMAL,2025-11-28
